Language,uid,deictic_index
Adyghe (Abkhaz-Adyge),1,3
Adyghe (Abkhaz-Adyge),2,4
Adyghe (Abkhaz-Adyge),0,5
Adyghe (Abkhaz-Adyge),1,0
Adyghe (Abkhaz-Adyge),2,1
Adyghe (Abkhaz-Adyge),0,2
Adyghe (Abkhaz-Adyge),1,6
Adyghe (Abkhaz-Adyge),2,7
Adyghe (Abkhaz-Adyge),0,8
"Afar (Afro-Asiatic, Cushitic)",1,3
"Afar (Afro-Asiatic, Cushitic)",3,4
"Afar (Afro-Asiatic, Cushitic)",3,5
"Afar (Afro-Asiatic, Cushitic)",1,0
"Afar (Afro-Asiatic, Cushitic)",3,1
"Afar (Afro-Asiatic, Cushitic)",3,2
"Afar (Afro-Asiatic, Cushitic)",0,6
"Afar (Afro-Asiatic, Cushitic)",2,7
"Afar (Afro-Asiatic, Cushitic)",2,8
"Albanian (Indo-European, Albanian)",1,3
"Albanian (Indo-European, Albanian)",0,4
"Albanian (Indo-European, Albanian)",0,5
"Albanian (Indo-European, Albanian)",1,0
"Albanian (Indo-European, Albanian)",0,1
"Albanian (Indo-European, Albanian)",0,2
"Albanian (Indo-European, Albanian)",3,6
"Albanian (Indo-European, Albanian)",2,7
"Albanian (Indo-European, Albanian)",2,8
"Amharic (Afro-Asiatic, Semitic)",0,3
"Amharic (Afro-Asiatic, Semitic)",1,4
"Amharic (Afro-Asiatic, Semitic)",1,5
"Amharic (Afro-Asiatic, Semitic)",0,0
"Amharic (Afro-Asiatic, Semitic)",1,1
"Amharic (Afro-Asiatic, Semitic)",1,2
"Amharic (Afro-Asiatic, Semitic)",2,6
"Amharic (Afro-Asiatic, Semitic)",3,7
"Amharic (Afro-Asiatic, Semitic)",3,8
"Angolar (Indo-European, Lower Guinea Portuguese)",1,3
"Angolar (Indo-European, Lower Guinea Portuguese)",2,4
"Angolar (Indo-European, Lower Guinea Portuguese)",2,5
"Angolar (Indo-European, Lower Guinea Portuguese)",0,0
"Angolar (Indo-European, Lower Guinea Portuguese)",2,1
"Angolar (Indo-European, Lower Guinea Portuguese)",2,2
"Angolar (Indo-European, Lower Guinea Portuguese)",1,6
"Angolar (Indo-European, Lower Guinea Portuguese)",2,7
"Angolar (Indo-European, Lower Guinea Portuguese)",2,8
Balese (Central Sudanic),0,3
Balese (Central Sudanic),4,4
Balese (Central Sudanic),2,5
Balese (Central Sudanic),1,0
Balese (Central Sudanic),5,1
Balese (Central Sudanic),3,2
Balese (Central Sudanic),0,6
Balese (Central Sudanic),4,7
Balese (Central Sudanic),2,8
Bambara (Mande),0,3
Bambara (Mande),1,4
Bambara (Mande),1,5
Bambara (Mande),0,0
Bambara (Mande),1,1
Bambara (Mande),1,2
Bambara (Mande),0,6
Bambara (Mande),1,7
Bambara (Mande),1,8
Bangime (Bangime),0,3
Bangime (Bangime),2,4
Bangime (Bangime),1,5
Bangime (Bangime),0,0
Bangime (Bangime),2,1
Bangime (Bangime),1,2
Bangime (Bangime),0,6
Bangime (Bangime),2,7
Bangime (Bangime),1,8
Basque,5,3
Basque,7,4
Basque,1,5
Basque,3,0
Basque,6,1
Basque,0,2
Basque,4,6
Basque,8,7
Basque,2,8
Belarusian,2,3
Belarusian,4,4
Belarusian,4,5
Belarusian,5,0
Belarusian,3,1
Belarusian,3,2
Belarusian,0,6
Belarusian,1,7
Belarusian,1,8
Bulgarian,3,3
Bulgarian,2,4
Bulgarian,2,5
Bulgarian,3,0
Bulgarian,2,1
Bulgarian,2,2
Bulgarian,1,6
Bulgarian,0,7
Bulgarian,0,8
Bunoge Dogon (Dogon),3,3
Bunoge Dogon (Dogon),1,4
Bunoge Dogon (Dogon),1,5
Bunoge Dogon (Dogon),2,0
Bunoge Dogon (Dogon),0,1
Bunoge Dogon (Dogon),0,2
Bunoge Dogon (Dogon),3,6
Bunoge Dogon (Dogon),1,7
Bunoge Dogon (Dogon),1,8
Catalan,2,3
Catalan,1,4
Catalan,0,5
Catalan,2,0
Catalan,1,1
Catalan,0,2
Catalan,5,6
Catalan,4,7
Catalan,3,8
"Croatian (Indo-European, Slavic)",3,3
"Croatian (Indo-European, Slavic)",4,4
"Croatian (Indo-European, Slavic)",4,5
"Croatian (Indo-European, Slavic)",3,0
"Croatian (Indo-European, Slavic)",2,1
"Croatian (Indo-European, Slavic)",2,2
"Croatian (Indo-European, Slavic)",1,6
"Croatian (Indo-European, Slavic)",0,7
"Croatian (Indo-European, Slavic)",0,8
"Czech (Indo-European, Slavic)",2,3
"Czech (Indo-European, Slavic)",3,4
"Czech (Indo-European, Slavic)",3,5
"Czech (Indo-European, Slavic)",4,0
"Czech (Indo-European, Slavic)",3,1
"Czech (Indo-European, Slavic)",3,2
"Czech (Indo-European, Slavic)",0,6
"Czech (Indo-European, Slavic)",1,7
"Czech (Indo-European, Slavic)",1,8
"Danish (Indo-European, Germanic)",5,3
"Danish (Indo-European, Germanic)",2,4
"Danish (Indo-European, Germanic)",2,5
"Danish (Indo-European, Germanic)",3,0
"Danish (Indo-European, Germanic)",0,1
"Danish (Indo-European, Germanic)",0,2
"Danish (Indo-European, Germanic)",4,6
"Danish (Indo-European, Germanic)",1,7
"Danish (Indo-European, Germanic)",1,8
"Dii (Atlantic-Congo, Central Adamawa)",1,3
"Dii (Atlantic-Congo, Central Adamawa)",0,4
"Dii (Atlantic-Congo, Central Adamawa)",2,5
"Dii (Atlantic-Congo, Central Adamawa)",1,0
"Dii (Atlantic-Congo, Central Adamawa)",0,1
"Dii (Atlantic-Congo, Central Adamawa)",2,2
"Dii (Atlantic-Congo, Central Adamawa)",1,6
"Dii (Atlantic-Congo, Central Adamawa)",0,7
"Dii (Atlantic-Congo, Central Adamawa)",2,8
Dime (South Omotic),2,3
Dime (South Omotic),1,4
Dime (South Omotic),1,5
Dime (South Omotic),2,0
Dime (South Omotic),1,1
Dime (South Omotic),1,2
Dime (South Omotic),3,6
Dime (South Omotic),0,7
Dime (South Omotic),0,8
"Dutch (Indo-European, Germanic)",4,3
"Dutch (Indo-European, Germanic)",1,4
"Dutch (Indo-European, Germanic)",1,5
"Dutch (Indo-European, Germanic)",3,0
"Dutch (Indo-European, Germanic)",0,1
"Dutch (Indo-European, Germanic)",0,2
"Dutch (Indo-European, Germanic)",5,6
"Dutch (Indo-European, Germanic)",2,7
"Dutch (Indo-European, Germanic)",2,8
"Ekoti (Atlantic-Congo, Bantu)",0,3
"Ekoti (Atlantic-Congo, Bantu)",2,4
"Ekoti (Atlantic-Congo, Bantu)",1,5
"Ekoti (Atlantic-Congo, Bantu)",0,0
"Ekoti (Atlantic-Congo, Bantu)",2,1
"Ekoti (Atlantic-Congo, Bantu)",1,2
"Ekoti (Atlantic-Congo, Bantu)",0,6
"Ekoti (Atlantic-Congo, Bantu)",2,7
"Ekoti (Atlantic-Congo, Bantu)",1,8
"English (Indo-European, Germanic)",2,3
"English (Indo-European, Germanic)",3,4
"English (Indo-European, Germanic)",3,5
"English (Indo-European, Germanic)",2,0
"English (Indo-European, Germanic)",3,1
"English (Indo-European, Germanic)",3,2
"English (Indo-European, Germanic)",0,6
"English (Indo-European, Germanic)",1,7
"English (Indo-European, Germanic)",1,8
Estonian (Uralic),2,3
Estonian (Uralic),5,4
Estonian (Uralic),5,5
Estonian (Uralic),3,0
Estonian (Uralic),0,1
Estonian (Uralic),0,2
Estonian (Uralic),4,6
Estonian (Uralic),1,7
Estonian (Uralic),1,8
"Ewe (Atlantic-Congo, Gbe)",0,3
"Ewe (Atlantic-Congo, Gbe)",2,4
"Ewe (Atlantic-Congo, Gbe)",2,5
"Ewe (Atlantic-Congo, Gbe)",0,0
"Ewe (Atlantic-Congo, Gbe)",1,1
"Ewe (Atlantic-Congo, Gbe)",1,2
"Ewe (Atlantic-Congo, Gbe)",0,6
"Ewe (Atlantic-Congo, Gbe)",2,7
"Ewe (Atlantic-Congo, Gbe)",2,8
"Faroese (Indo-European, Germanic)",3,3
"Faroese (Indo-European, Germanic)",0,4
"Faroese (Indo-European, Germanic)",0,5
"Faroese (Indo-European, Germanic)",3,0
"Faroese (Indo-European, Germanic)",2,1
"Faroese (Indo-European, Germanic)",2,2
"Faroese (Indo-European, Germanic)",4,6
"Faroese (Indo-European, Germanic)",1,7
"Faroese (Indo-European, Germanic)",1,8
Finnish (Uralic),5,3
Finnish (Uralic),2,4
Finnish (Uralic),8,5
Finnish (Uralic),3,0
Finnish (Uralic),0,1
Finnish (Uralic),6,2
Finnish (Uralic),4,6
Finnish (Uralic),1,7
Finnish (Uralic),7,8
"Fon (Atlantic-Congo, Gbe)",0,3
"Fon (Atlantic-Congo, Gbe)",1,4
"Fon (Atlantic-Congo, Gbe)",1,5
"Fon (Atlantic-Congo, Gbe)",0,0
"Fon (Atlantic-Congo, Gbe)",1,1
"Fon (Atlantic-Congo, Gbe)",1,2
"Fon (Atlantic-Congo, Gbe)",0,6
"Fon (Atlantic-Congo, Gbe)",1,7
"Fon (Atlantic-Congo, Gbe)",1,8
"French (Indo-European, Romance)",3,3
"French (Indo-European, Romance)",4,4
"French (Indo-European, Romance)",5,5
"French (Indo-European, Romance)",3,0
"French (Indo-European, Romance)",4,1
"French (Indo-European, Romance)",5,2
"French (Indo-European, Romance)",0,6
"French (Indo-European, Romance)",1,7
"French (Indo-European, Romance)",2,8
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",3,3
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",1,4
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",1,5
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",3,0
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",4,1
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",4,2
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",2,6
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",0,7
"Fulfulde, Adamawa (Atlantic-Congo, North Atlantic)",0,8
Georgian (Kartvelian),0,3
Georgian (Kartvelian),5,4
Georgian (Kartvelian),2,5
Georgian (Kartvelian),0,0
Georgian (Kartvelian),5,1
Georgian (Kartvelian),2,2
Georgian (Kartvelian),1,6
Georgian (Kartvelian),4,7
Georgian (Kartvelian),3,8
"German (Indo-European, Germanic)",7,3
"German (Indo-European, Germanic)",2,4
"German (Indo-European, Germanic)",5,5
"German (Indo-European, Germanic)",6,0
"German (Indo-European, Germanic)",0,1
"German (Indo-European, Germanic)",3,2
"German (Indo-European, Germanic)",8,6
"German (Indo-European, Germanic)",1,7
"German (Indo-European, Germanic)",4,8
"Gidar (Afro-Asiatic, Chadic)",1,3
"Gidar (Afro-Asiatic, Chadic)",0,4
"Gidar (Afro-Asiatic, Chadic)",0,5
"Gidar (Afro-Asiatic, Chadic)",1,0
"Gidar (Afro-Asiatic, Chadic)",0,1
"Gidar (Afro-Asiatic, Chadic)",0,2
"Gidar (Afro-Asiatic, Chadic)",2,6
"Gidar (Afro-Asiatic, Chadic)",3,7
"Gidar (Afro-Asiatic, Chadic)",3,8
"Gonja (Atlantic-Congo, Guang)",0,3
"Gonja (Atlantic-Congo, Guang)",1,4
"Gonja (Atlantic-Congo, Guang)",1,5
"Gonja (Atlantic-Congo, Guang)",0,0
"Gonja (Atlantic-Congo, Guang)",1,1
"Gonja (Atlantic-Congo, Guang)",1,2
"Gonja (Atlantic-Congo, Guang)",0,6
"Gonja (Atlantic-Congo, Guang)",1,7
"Gonja (Atlantic-Congo, Guang)",1,8
"Greek, Modern (Indo-European, Graeco-Phrygian)",2,3
"Greek, Modern (Indo-European, Graeco-Phrygian)",3,4
"Greek, Modern (Indo-European, Graeco-Phrygian)",3,5
"Greek, Modern (Indo-European, Graeco-Phrygian)",2,0
"Greek, Modern (Indo-European, Graeco-Phrygian)",3,1
"Greek, Modern (Indo-European, Graeco-Phrygian)",3,2
"Greek, Modern (Indo-European, Graeco-Phrygian)",0,6
"Greek, Modern (Indo-European, Graeco-Phrygian)",1,7
"Greek, Modern (Indo-European, Graeco-Phrygian)",1,8
Hamar (South Omotic),1,3
Hamar (South Omotic),3,4
Hamar (South Omotic),3,5
Hamar (South Omotic),2,0
Hamar (South Omotic),3,1
Hamar (South Omotic),3,2
Hamar (South Omotic),0,6
Hamar (South Omotic),4,7
Hamar (South Omotic),4,8
"Hausa (Afro-Asiatic, Chadic)",5,3
"Hausa (Afro-Asiatic, Chadic)",4,4
"Hausa (Afro-Asiatic, Chadic)",1,5
"Hausa (Afro-Asiatic, Chadic)",5,0
"Hausa (Afro-Asiatic, Chadic)",4,1
"Hausa (Afro-Asiatic, Chadic)",1,2
"Hausa (Afro-Asiatic, Chadic)",3,6
"Hausa (Afro-Asiatic, Chadic)",2,7
"Hausa (Afro-Asiatic, Chadic)",0,8
Hungarian (Uralic),0,3
Hungarian (Uralic),3,4
Hungarian (Uralic),3,5
Hungarian (Uralic),2,0
Hungarian (Uralic),5,1
Hungarian (Uralic),5,2
Hungarian (Uralic),1,6
Hungarian (Uralic),4,7
Hungarian (Uralic),4,8
"Icelandic (Indo-European, Germanic)",1,3
"Icelandic (Indo-European, Germanic)",3,4
"Icelandic (Indo-European, Germanic)",3,5
"Icelandic (Indo-European, Germanic)",1,0
"Icelandic (Indo-European, Germanic)",3,1
"Icelandic (Indo-European, Germanic)",3,2
"Icelandic (Indo-European, Germanic)",0,6
"Icelandic (Indo-European, Germanic)",2,7
"Icelandic (Indo-European, Germanic)",2,8
"Irish (Indo-European, Celtic)",1,3
"Irish (Indo-European, Celtic)",0,4
"Irish (Indo-European, Celtic)",2,5
"Irish (Indo-European, Celtic)",1,0
"Irish (Indo-European, Celtic)",0,1
"Irish (Indo-European, Celtic)",2,2
"Irish (Indo-European, Celtic)",3,6
"Irish (Indo-European, Celtic)",4,7
"Irish (Indo-European, Celtic)",5,8
"Italian (Indo-European, Romance)",3,3
"Italian (Indo-European, Romance)",2,4
"Italian (Indo-European, Romance)",2,5
"Italian (Indo-European, Romance)",3,0
"Italian (Indo-European, Romance)",2,1
"Italian (Indo-European, Romance)",2,2
"Italian (Indo-European, Romance)",1,6
"Italian (Indo-European, Romance)",0,7
"Italian (Indo-European, Romance)",0,8
"Kaba (Central Sudanic, Saraic)",1,3
"Kaba (Central Sudanic, Saraic)",2,4
"Kaba (Central Sudanic, Saraic)",3,5
"Kaba (Central Sudanic, Saraic)",1,0
"Kaba (Central Sudanic, Saraic)",2,1
"Kaba (Central Sudanic, Saraic)",3,2
"Kaba (Central Sudanic, Saraic)",1,6
"Kaba (Central Sudanic, Saraic)",2,7
"Kaba (Central Sudanic, Saraic)",0,8
"Kabiyé (Atlantic-Congo, Gur)",0,3
"Kabiyé (Atlantic-Congo, Gur)",1,4
"Kabiyé (Atlantic-Congo, Gur)",1,5
"Kabiyé (Atlantic-Congo, Gur)",0,0
"Kabiyé (Atlantic-Congo, Gur)",1,1
"Kabiyé (Atlantic-Congo, Gur)",1,2
"Kabiyé (Atlantic-Congo, Gur)",0,6
"Kabiyé (Atlantic-Congo, Gur)",1,7
"Kabiyé (Atlantic-Congo, Gur)",1,8
"Khoekhoe, Nama (Khoe-Kwadi)",2,3
"Khoekhoe, Nama (Khoe-Kwadi)",4,4
"Khoekhoe, Nama (Khoe-Kwadi)",0,5
"Khoekhoe, Nama (Khoe-Kwadi)",2,0
"Khoekhoe, Nama (Khoe-Kwadi)",4,1
"Khoekhoe, Nama (Khoe-Kwadi)",0,2
"Khoekhoe, Nama (Khoe-Kwadi)",3,6
"Khoekhoe, Nama (Khoe-Kwadi)",5,7
"Khoekhoe, Nama (Khoe-Kwadi)",1,8
"Khwarshi (Nakh-Daghestanian, Tsezic)",7,3
"Khwarshi (Nakh-Daghestanian, Tsezic)",1,4
"Khwarshi (Nakh-Daghestanian, Tsezic)",4,5
"Khwarshi (Nakh-Daghestanian, Tsezic)",6,0
"Khwarshi (Nakh-Daghestanian, Tsezic)",0,1
"Khwarshi (Nakh-Daghestanian, Tsezic)",3,2
"Khwarshi (Nakh-Daghestanian, Tsezic)",8,6
"Khwarshi (Nakh-Daghestanian, Tsezic)",2,7
"Khwarshi (Nakh-Daghestanian, Tsezic)",5,8
"Kikuyu (Atlantic-Congo, Bantu)",1,3
"Kikuyu (Atlantic-Congo, Bantu)",0,4
"Kikuyu (Atlantic-Congo, Bantu)",2,5
"Kikuyu (Atlantic-Congo, Bantu)",1,0
"Kikuyu (Atlantic-Congo, Bantu)",0,1
"Kikuyu (Atlantic-Congo, Bantu)",2,2
"Kikuyu (Atlantic-Congo, Bantu)",1,6
"Kikuyu (Atlantic-Congo, Bantu)",0,7
"Kikuyu (Atlantic-Congo, Bantu)",2,8
Koyra Chiini (Songhay),2,3
Koyra Chiini (Songhay),0,4
Koyra Chiini (Songhay),1,5
Koyra Chiini (Songhay),2,0
Koyra Chiini (Songhay),0,1
Koyra Chiini (Songhay),1,2
Koyra Chiini (Songhay),2,6
Koyra Chiini (Songhay),0,7
Koyra Chiini (Songhay),1,8
Koyraboro Senni (Songhay),0,3
Koyraboro Senni (Songhay),2,4
Koyraboro Senni (Songhay),1,5
Koyraboro Senni (Songhay),0,0
Koyraboro Senni (Songhay),2,1
Koyraboro Senni (Songhay),1,2
Koyraboro Senni (Songhay),0,6
Koyraboro Senni (Songhay),2,7
Koyraboro Senni (Songhay),1,8
Lango (Nilotic),4,3
Lango (Nilotic),5,4
Lango (Nilotic),3,5
Lango (Nilotic),4,0
Lango (Nilotic),5,1
Lango (Nilotic),3,2
Lango (Nilotic),1,6
Lango (Nilotic),2,7
Lango (Nilotic),0,8
"Latvian (Indo-European, Baltic)",3,3
"Latvian (Indo-European, Baltic)",4,4
"Latvian (Indo-European, Baltic)",4,5
"Latvian (Indo-European, Baltic)",2,0
"Latvian (Indo-European, Baltic)",4,1
"Latvian (Indo-European, Baltic)",4,2
"Latvian (Indo-European, Baltic)",0,6
"Latvian (Indo-European, Baltic)",1,7
"Latvian (Indo-European, Baltic)",1,8
"Lezgian (Nakh-Daghestanian, Daghestanian)",5,3
"Lezgian (Nakh-Daghestanian, Daghestanian)",2,4
"Lezgian (Nakh-Daghestanian, Daghestanian)",2,5
"Lezgian (Nakh-Daghestanian, Daghestanian)",3,0
"Lezgian (Nakh-Daghestanian, Daghestanian)",0,1
"Lezgian (Nakh-Daghestanian, Daghestanian)",0,2
"Lezgian (Nakh-Daghestanian, Daghestanian)",4,6
"Lezgian (Nakh-Daghestanian, Daghestanian)",1,7
"Lezgian (Nakh-Daghestanian, Daghestanian)",1,8
"Lithuanian (Indo-European, Baltic)",0,3
"Lithuanian (Indo-European, Baltic)",3,4
"Lithuanian (Indo-European, Baltic)",3,5
"Lithuanian (Indo-European, Baltic)",0,0
"Lithuanian (Indo-European, Baltic)",3,1
"Lithuanian (Indo-European, Baltic)",3,2
"Lithuanian (Indo-European, Baltic)",1,6
"Lithuanian (Indo-European, Baltic)",2,7
"Lithuanian (Indo-European, Baltic)",2,8
Loma (Mande),1,3
Loma (Mande),0,4
Loma (Mande),0,5
Loma (Mande),1,0
Loma (Mande),0,1
Loma (Mande),0,2
Loma (Mande),1,6
Loma (Mande),0,7
Loma (Mande),0,8
"Low German (Indo-European, Germanic)",4,3
"Low German (Indo-European, Germanic)",1,4
"Low German (Indo-European, Germanic)",1,5
"Low German (Indo-European, Germanic)",3,0
"Low German (Indo-European, Germanic)",0,1
"Low German (Indo-European, Germanic)",0,2
"Low German (Indo-European, Germanic)",4,6
"Low German (Indo-European, Germanic)",2,7
"Low German (Indo-European, Germanic)",2,8
Luo (Nilotic),1,3
Luo (Nilotic),3,4
Luo (Nilotic),0,5
Luo (Nilotic),1,0
Luo (Nilotic),3,1
Luo (Nilotic),2,2
Luo (Nilotic),1,6
Luo (Nilotic),3,7
Luo (Nilotic),0,8
"Ma’di (Central Sudanic, Moru-Madi)",0,3
