Language,uid,deictic_index
"Ma’di (Central Sudanic, Moru-Madi)",2,4
"Ma’di (Central Sudanic, Moru-Madi)",4,5
"Ma’di (Central Sudanic, Moru-Madi)",0,0
"Ma’di (Central Sudanic, Moru-Madi)",2,1
"Ma’di (Central Sudanic, Moru-Madi)",4,2
"Ma’di (Central Sudanic, Moru-Madi)",1,6
"Ma’di (Central Sudanic, Moru-Madi)",3,7
"Ma’di (Central Sudanic, Moru-Madi)",5,8
Maale (Ta-Ne-Omotic),0,3
Maale (Ta-Ne-Omotic),2,4
Maale (Ta-Ne-Omotic),2,5
Maale (Ta-Ne-Omotic),0,0
Maale (Ta-Ne-Omotic),2,1
Maale (Ta-Ne-Omotic),2,2
Maale (Ta-Ne-Omotic),1,6
Maale (Ta-Ne-Omotic),3,7
Maale (Ta-Ne-Omotic),3,8
"Macedonian (Indo-European, Slavic)",6,3
"Macedonian (Indo-European, Slavic)",0,4
"Macedonian (Indo-European, Slavic)",1,5
"Macedonian (Indo-European, Slavic)",6,0
"Macedonian (Indo-European, Slavic)",7,1
"Macedonian (Indo-European, Slavic)",4,2
"Macedonian (Indo-European, Slavic)",3,6
"Macedonian (Indo-European, Slavic)",5,7
"Macedonian (Indo-European, Slavic)",2,8
"Malagasy (Austronesian, Greater Barito)",3,3
"Malagasy (Austronesian, Greater Barito)",2,4
"Malagasy (Austronesian, Greater Barito)",1,5
"Malagasy (Austronesian, Greater Barito)",3,0
"Malagasy (Austronesian, Greater Barito)",2,1
"Malagasy (Austronesian, Greater Barito)",1,2
"Malagasy (Austronesian, Greater Barito)",3,6
"Malagasy (Austronesian, Greater Barito)",2,7
"Malagasy (Austronesian, Greater Barito)",0,8
"Maltese (Afro-Asiatic, Semitic)",0,3
"Maltese (Afro-Asiatic, Semitic)",1,4
"Maltese (Afro-Asiatic, Semitic)",1,5
"Maltese (Afro-Asiatic, Semitic)",0,0
"Maltese (Afro-Asiatic, Semitic)",1,1
"Maltese (Afro-Asiatic, Semitic)",1,2
"Maltese (Afro-Asiatic, Semitic)",2,6
"Maltese (Afro-Asiatic, Semitic)",3,7
"Maltese (Afro-Asiatic, Semitic)",3,8
"Mambay (Atlantic-Congo, Mbumic)",0,3
"Mambay (Atlantic-Congo, Mbumic)",3,4
"Mambay (Atlantic-Congo, Mbumic)",3,5
"Mambay (Atlantic-Congo, Mbumic)",1,0
"Mambay (Atlantic-Congo, Mbumic)",2,1
"Mambay (Atlantic-Congo, Mbumic)",2,2
"Mambay (Atlantic-Congo, Mbumic)",1,6
"Mambay (Atlantic-Congo, Mbumic)",2,7
"Mambay (Atlantic-Congo, Mbumic)",2,8
"Miya (Afro-Asiatic, Chadic)",3,3
"Miya (Afro-Asiatic, Chadic)",2,4
"Miya (Afro-Asiatic, Chadic)",2,5
"Miya (Afro-Asiatic, Chadic)",3,0
"Miya (Afro-Asiatic, Chadic)",2,1
"Miya (Afro-Asiatic, Chadic)",2,2
"Miya (Afro-Asiatic, Chadic)",0,6
"Miya (Afro-Asiatic, Chadic)",1,7
"Miya (Afro-Asiatic, Chadic)",1,8
"Munukutuba (Atlantic-Congo, Bantu)",0,3
"Munukutuba (Atlantic-Congo, Bantu)",1,4
"Munukutuba (Atlantic-Congo, Bantu)",1,5
"Munukutuba (Atlantic-Congo, Bantu)",0,0
"Munukutuba (Atlantic-Congo, Bantu)",1,1
"Munukutuba (Atlantic-Congo, Bantu)",1,2
"Munukutuba (Atlantic-Congo, Bantu)",0,6
"Munukutuba (Atlantic-Congo, Bantu)",1,7
"Munukutuba (Atlantic-Congo, Bantu)",1,8
"Ngizim (Afro-Asiatic, Chadic)",7,3
"Ngizim (Afro-Asiatic, Chadic)",6,4
"Ngizim (Afro-Asiatic, Chadic)",8,5
"Ngizim (Afro-Asiatic, Chadic)",1,0
"Ngizim (Afro-Asiatic, Chadic)",0,1
"Ngizim (Afro-Asiatic, Chadic)",2,2
"Ngizim (Afro-Asiatic, Chadic)",4,6
"Ngizim (Afro-Asiatic, Chadic)",3,7
"Ngizim (Afro-Asiatic, Chadic)",5,8
Nobiin (Nubian),0,3
Nobiin (Nubian),2,4
Nobiin (Nubian),2,5
Nobiin (Nubian),0,0
Nobiin (Nubian),2,1
Nobiin (Nubian),2,2
Nobiin (Nubian),1,6
Nobiin (Nubian),3,7
Nobiin (Nubian),3,8
"Norwegian (Indo-European, Germanic)",5,3
"Norwegian (Indo-European, Germanic)",2,4
"Norwegian (Indo-European, Germanic)",2,5
"Norwegian (Indo-European, Germanic)",3,0
"Norwegian (Indo-European, Germanic)",0,1
"Norwegian (Indo-European, Germanic)",0,2
"Norwegian (Indo-European, Germanic)",4,6
"Norwegian (Indo-European, Germanic)",1,7
"Norwegian (Indo-European, Germanic)",1,8
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",1,3
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,4
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,5
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",1,0
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,1
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,2
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",1,6
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,7
"Ò̩ko̩ (Atlantic-Congo, Oko-Eni-Osayen)",0,8
"Old Church Slavonic (Indo-European, Slavic)",3,3
"Old Church Slavonic (Indo-European, Slavic)",6,4
"Old Church Slavonic (Indo-European, Slavic)",0,5
"Old Church Slavonic (Indo-European, Slavic)",5,0
"Old Church Slavonic (Indo-European, Slavic)",8,1
"Old Church Slavonic (Indo-European, Slavic)",2,2
"Old Church Slavonic (Indo-European, Slavic)",4,6
"Old Church Slavonic (Indo-European, Slavic)",7,7
"Old Church Slavonic (Indo-European, Slavic)",1,8
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",0,3
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,4
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,5
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",0,0
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,1
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,2
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",0,6
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,7
"Òṇìc̣hà Igbo (Atlantic-Congo, Igboid)",1,8
"Pamue (Atlantic-Congo, Bantu)",1,3
"Pamue (Atlantic-Congo, Bantu)",2,4
"Pamue (Atlantic-Congo, Bantu)",0,5
"Pamue (Atlantic-Congo, Bantu)",1,0
"Pamue (Atlantic-Congo, Bantu)",2,1
"Pamue (Atlantic-Congo, Bantu)",0,2
"Pamue (Atlantic-Congo, Bantu)",1,6
"Pamue (Atlantic-Congo, Bantu)",2,7
"Pamue (Atlantic-Congo, Bantu)",0,8
Penange (Dogon),1,3
Penange (Dogon),0,4
Penange (Dogon),0,5
Penange (Dogon),1,0
Penange (Dogon),0,1
Penange (Dogon),0,2
Penange (Dogon),1,6
Penange (Dogon),0,7
Penange (Dogon),0,8
"Polish (Indo-European, Slavic)",3,3
"Polish (Indo-European, Slavic)",2,4
"Polish (Indo-European, Slavic)",2,5
"Polish (Indo-European, Slavic)",3,0
"Polish (Indo-European, Slavic)",2,1
"Polish (Indo-European, Slavic)",2,2
"Polish (Indo-European, Slavic)",0,6
"Polish (Indo-European, Slavic)",1,7
"Polish (Indo-European, Slavic)",1,8
"Portuguese (Indo-European, Romance)",6,3
"Portuguese (Indo-European, Romance)",0,4
"Portuguese (Indo-European, Romance)",1,5
"Portuguese (Indo-European, Romance)",2,0
"Portuguese (Indo-European, Romance)",0,1
"Portuguese (Indo-European, Romance)",1,2
"Portuguese (Indo-European, Romance)",5,6
"Portuguese (Indo-European, Romance)",3,7
"Portuguese (Indo-European, Romance)",4,8
"Romani, Moldovan (Indo-European, Indo-Iranian)",5,3
"Romani, Moldovan (Indo-European, Indo-Iranian)",2,4
"Romani, Moldovan (Indo-European, Indo-Iranian)",2,5
"Romani, Moldovan (Indo-European, Indo-Iranian)",3,0
"Romani, Moldovan (Indo-European, Indo-Iranian)",0,1
"Romani, Moldovan (Indo-European, Indo-Iranian)",0,2
"Romani, Moldovan (Indo-European, Indo-Iranian)",4,6
"Romani, Moldovan (Indo-European, Indo-Iranian)",1,7
"Romani, Moldovan (Indo-European, Indo-Iranian)",1,8
"Romanian (Indo-European, Romance)",1,3
"Romanian (Indo-European, Romance)",0,4
"Romanian (Indo-European, Romance)",0,5
"Romanian (Indo-European, Romance)",1,0
"Romanian (Indo-European, Romance)",0,1
"Romanian (Indo-European, Romance)",0,2
"Romanian (Indo-European, Romance)",3,6
"Romanian (Indo-European, Romance)",2,7
"Romanian (Indo-European, Romance)",2,8
"Rumantsch (Indo-European, Romance)",3,3
"Rumantsch (Indo-European, Romance)",2,4
"Rumantsch (Indo-European, Romance)",2,5
"Rumantsch (Indo-European, Romance)",3,0
"Rumantsch (Indo-European, Romance)",2,1
"Rumantsch (Indo-European, Romance)",2,2
"Rumantsch (Indo-European, Romance)",1,6
"Rumantsch (Indo-European, Romance)",0,7
"Rumantsch (Indo-European, Romance)",0,8
"Russian (Indo-European, Slavic)",2,3
"Russian (Indo-European, Slavic)",4,4
"Russian (Indo-European, Slavic)",4,5
"Russian (Indo-European, Slavic)",5,0
"Russian (Indo-European, Slavic)",3,1
"Russian (Indo-European, Slavic)",3,2
"Russian (Indo-European, Slavic)",0,6
"Russian (Indo-European, Slavic)",1,7
"Russian (Indo-European, Slavic)",1,8
"Saami, Skolt (Uralic)",3,3
"Saami, Skolt (Uralic)",5,4
"Saami, Skolt (Uralic)",0,5
"Saami, Skolt (Uralic)",2,0
"Saami, Skolt (Uralic)",4,1
"Saami, Skolt (Uralic)",1,2
"Saami, Skolt (Uralic)",2,6
"Saami, Skolt (Uralic)",4,7
"Saami, Skolt (Uralic)",1,8
"Sango (Atlantic-Congo, Ubangi)",0,3
"Sango (Atlantic-Congo, Ubangi)",1,4
"Sango (Atlantic-Congo, Ubangi)",1,5
"Sango (Atlantic-Congo, Ubangi)",0,0
"Sango (Atlantic-Congo, Ubangi)",1,1
"Sango (Atlantic-Congo, Ubangi)",1,2
"Sango (Atlantic-Congo, Ubangi)",0,6
"Sango (Atlantic-Congo, Ubangi)",1,7
"Sango (Atlantic-Congo, Ubangi)",1,8
"Scots-Gaelic (Indo-European, Celtic)",3,3
"Scots-Gaelic (Indo-European, Celtic)",4,4
"Scots-Gaelic (Indo-European, Celtic)",5,5
"Scots-Gaelic (Indo-European, Celtic)",3,0
"Scots-Gaelic (Indo-European, Celtic)",4,1
"Scots-Gaelic (Indo-European, Celtic)",5,2
"Scots-Gaelic (Indo-European, Celtic)",1,6
"Scots-Gaelic (Indo-European, Celtic)",2,7
"Scots-Gaelic (Indo-European, Celtic)",0,8
"Serbian (Indo-European, Slavic)",2,3
"Serbian (Indo-European, Slavic)",3,4
"Serbian (Indo-European, Slavic)",3,5
"Serbian (Indo-European, Slavic)",4,0
"Serbian (Indo-European, Slavic)",3,1
"Serbian (Indo-European, Slavic)",3,2
"Serbian (Indo-European, Slavic)",1,6
"Serbian (Indo-European, Slavic)",0,7
"Serbian (Indo-European, Slavic)",0,8
"Slavomolisano (Indo-European, Slavic)",3,3
"Slavomolisano (Indo-European, Slavic)",0,4
"Slavomolisano (Indo-European, Slavic)",0,5
"Slavomolisano (Indo-European, Slavic)",1,0
"Slavomolisano (Indo-European, Slavic)",2,1
"Slavomolisano (Indo-European, Slavic)",2,2
"Slavomolisano (Indo-European, Slavic)",5,6
"Slavomolisano (Indo-European, Slavic)",4,7
"Slavomolisano (Indo-European, Slavic)",4,8
"Slovak (Indo-European, Slavic)",2,3
"Slovak (Indo-European, Slavic)",3,4
"Slovak (Indo-European, Slavic)",3,5
"Slovak (Indo-European, Slavic)",5,0
"Slovak (Indo-European, Slavic)",4,1
"Slovak (Indo-European, Slavic)",4,2
"Slovak (Indo-European, Slavic)",0,6
"Slovak (Indo-European, Slavic)",1,7
"Slovak (Indo-European, Slavic)",1,8
"Slovenian (Indo-European, Slavic)",4,3
"Slovenian (Indo-European, Slavic)",3,4
"Slovenian (Indo-European, Slavic)",3,5
"Slovenian (Indo-European, Slavic)",4,0
"Slovenian (Indo-European, Slavic)",2,1
"Slovenian (Indo-European, Slavic)",2,2
"Slovenian (Indo-European, Slavic)",0,6
"Slovenian (Indo-European, Slavic)",1,7
"Slovenian (Indo-European, Slavic)",1,8
"Somali (Afro-Asiatic, Cushitic)",2,3
"Somali (Afro-Asiatic, Cushitic)",0,4
"Somali (Afro-Asiatic, Cushitic)",0,5
"Somali (Afro-Asiatic, Cushitic)",2,0
"Somali (Afro-Asiatic, Cushitic)",0,1
"Somali (Afro-Asiatic, Cushitic)",0,2
"Somali (Afro-Asiatic, Cushitic)",3,6
"Somali (Afro-Asiatic, Cushitic)",1,7
"Somali (Afro-Asiatic, Cushitic)",1,8
"Sorbian, Lower (Indo-European, Slavic)",1,3
"Sorbian, Lower (Indo-European, Slavic)",0,4
"Sorbian, Lower (Indo-European, Slavic)",0,5
"Sorbian, Lower (Indo-European, Slavic)",3,0
"Sorbian, Lower (Indo-European, Slavic)",2,1
"Sorbian, Lower (Indo-European, Slavic)",2,2
"Sorbian, Lower (Indo-European, Slavic)",4,6
"Sorbian, Lower (Indo-European, Slavic)",5,7
"Sorbian, Lower (Indo-European, Slavic)",5,8
"Sorbian,Upper (Indo-European, Slavic)",1,3
"Sorbian,Upper (Indo-European, Slavic)",0,4
"Sorbian,Upper (Indo-European, Slavic)",0,5
"Sorbian,Upper (Indo-European, Slavic)",3,0
"Sorbian,Upper (Indo-European, Slavic)",2,1
"Sorbian,Upper (Indo-European, Slavic)",2,2
"Sorbian,Upper (Indo-European, Slavic)",4,6
"Sorbian,Upper (Indo-European, Slavic)",5,7
"Sorbian,Upper (Indo-European, Slavic)",5,8
"Spanish (Indo-European, Romance)",0,3
"Spanish (Indo-European, Romance)",7,4
"Spanish (Indo-European, Romance)",2,5
"Spanish (Indo-European, Romance)",3,0
"Spanish (Indo-European, Romance)",1,1
"Spanish (Indo-European, Romance)",2,2
"Spanish (Indo-European, Romance)",6,6
"Spanish (Indo-European, Romance)",4,7
"Spanish (Indo-European, Romance)",5,8
"Supyire Senoufo (Atlantic-Congo, Gur)",1,3
"Supyire Senoufo (Atlantic-Congo, Gur)",0,4
"Supyire Senoufo (Atlantic-Congo, Gur)",0,5
"Supyire Senoufo (Atlantic-Congo, Gur)",1,0
"Supyire Senoufo (Atlantic-Congo, Gur)",0,1
"Supyire Senoufo (Atlantic-Congo, Gur)",0,2
"Supyire Senoufo (Atlantic-Congo, Gur)",1,6
"Supyire Senoufo (Atlantic-Congo, Gur)",0,7
"Supyire Senoufo (Atlantic-Congo, Gur)",0,8
Susu (Mande),0,3
Susu (Mande),1,4
Susu (Mande),1,5
Susu (Mande),0,0
Susu (Mande),1,1
Susu (Mande),1,2
Susu (Mande),0,6
Susu (Mande),1,7
Susu (Mande),1,8
"Swahili (Atlantic-Congo, Bantu)",0,3
"Swahili (Atlantic-Congo, Bantu)",1,4
"Swahili (Atlantic-Congo, Bantu)",2,5
"Swahili (Atlantic-Congo, Bantu)",0,0
"Swahili (Atlantic-Congo, Bantu)",1,1
"Swahili (Atlantic-Congo, Bantu)",2,2
"Swahili (Atlantic-Congo, Bantu)",0,6
"Swahili (Atlantic-Congo, Bantu)",1,7
"Swahili (Atlantic-Congo, Bantu)",2,8
"Swedish (Indo-European, Germanic)",5,3
"Swedish (Indo-European, Germanic)",2,4
"Swedish (Indo-European, Germanic)",2,5
"Swedish (Indo-European, Germanic)",3,0
"Swedish (Indo-European, Germanic)",0,1
"Swedish (Indo-European, Germanic)",0,2
"Swedish (Indo-European, Germanic)",4,6
"Swedish (Indo-European, Germanic)",1,7
"Swedish (Indo-European, Germanic)",1,8
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",3,3
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",4,4
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",5,5
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",3,0
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",4,1
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",5,2
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",0,6
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",2,7
"Tamasheq, Tadraq (Afro-Asiatic, Berber)",1,8
"Tigrinya (Afro-Asiatic, Semitic)",3,3
"Tigrinya (Afro-Asiatic, Semitic)",2,4
"Tigrinya (Afro-Asiatic, Semitic)",2,5
"Tigrinya (Afro-Asiatic, Semitic)",5,0
"Tigrinya (Afro-Asiatic, Semitic)",4,1
"Tigrinya (Afro-Asiatic, Semitic)",4,2
"Tigrinya (Afro-Asiatic, Semitic)",1,6
"Tigrinya (Afro-Asiatic, Semitic)",0,7
"Tigrinya (Afro-Asiatic, Semitic)",0,8
"Tswana (Atlantic-Congo, Bantu)",0,3
"Tswana (Atlantic-Congo, Bantu)",2,4
"Tswana (Atlantic-Congo, Bantu)",1,5
"Tswana (Atlantic-Congo, Bantu)",0,0
"Tswana (Atlantic-Congo, Bantu)",2,1
"Tswana (Atlantic-Congo, Bantu)",1,2
"Tswana (Atlantic-Congo, Bantu)",0,6
"Tswana (Atlantic-Congo, Bantu)",2,7
"Tswana (Atlantic-Congo, Bantu)",1,8
Turkish (Turkic),2,3
Turkish (Turkic),8,4
Turkish (Turkic),5,5
Turkish (Turkic),0,0
Turkish (Turkic),6,1
Turkish (Turkic),3,2
Turkish (Turkic),1,6
Turkish (Turkic),7,7
Turkish (Turkic),4,8
"Ukrainian (Indo-European, Slavic)",0,3
"Ukrainian (Indo-European, Slavic)",2,4
"Ukrainian (Indo-European, Slavic)",2,5
"Ukrainian (Indo-European, Slavic)",3,0
"Ukrainian (Indo-European, Slavic)",1,1
"Ukrainian (Indo-European, Slavic)",1,2
"Ukrainian (Indo-European, Slavic)",4,6
"Ukrainian (Indo-European, Slavic)",5,7
"Ukrainian (Indo-European, Slavic)",5,8
"Welsh (Indo-European, Celtic)",2,3
"Welsh (Indo-European, Celtic)",3,4
"Welsh (Indo-European, Celtic)",3,5
"Welsh (Indo-European, Celtic)",2,0
"Welsh (Indo-European, Celtic)",3,1
"Welsh (Indo-European, Celtic)",3,2
"Welsh (Indo-European, Celtic)",0,6
"Welsh (Indo-European, Celtic)",1,7
"Welsh (Indo-European, Celtic)",1,8
Wolaytta (Ta-Ne-Omotic),0,3
Wolaytta (Ta-Ne-Omotic),5,4
Wolaytta (Ta-Ne-Omotic),5,5
Wolaytta (Ta-Ne-Omotic),1,0
Wolaytta (Ta-Ne-Omotic),3,1
Wolaytta (Ta-Ne-Omotic),3,2
Wolaytta (Ta-Ne-Omotic),2,6
Wolaytta (Ta-Ne-Omotic),4,7
Wolaytta (Ta-Ne-Omotic),4,8
"Yoruba (Atlantic-Congo, Defoid)",7,3
"Yoruba (Atlantic-Congo, Defoid)",6,4
"Yoruba (Atlantic-Congo, Defoid)",4,5
"Yoruba (Atlantic-Congo, Defoid)",1,0
"Yoruba (Atlantic-Congo, Defoid)",0,1
"Yoruba (Atlantic-Congo, Defoid)",5,2
"Yoruba (Atlantic-Congo, Defoid)",3,6
"Yoruba (Atlantic-Congo, Defoid)",2,7
"Yoruba (Atlantic-Congo, Defoid)",5,8
"Zay (Afro-Asiatic, Semitic)",5,3
"Zay (Afro-Asiatic, Semitic)",4,4
"Zay (Afro-Asiatic, Semitic)",4,5
"Zay (Afro-Asiatic, Semitic)",1,0
"Zay (Afro-Asiatic, Semitic)",0,1
"Zay (Afro-Asiatic, Semitic)",0,2
"Zay (Afro-Asiatic, Semitic)",3,6
"Zay (Afro-Asiatic, Semitic)",2,7
"Zay (Afro-Asiatic, Semitic)",2,8
Zialo (Mande),2,3
Zialo (Mande),1,4
Zialo (Mande),0,5
Zialo (Mande),2,0
Zialo (Mande),1,1
Zialo (Mande),0,2
Zialo (Mande),2,6
Zialo (Mande),1,7
Zialo (Mande),0,8
