,place,goal,source,real,simulated,optimal,real_sd,simulated_sd,optimal_sd,real_minus_opt_resid,real_minus_opt_resid_sq,real_minus_sim_resid,real_minus_sim_resid_sq,dist_to_hull,dist_to_hull_sq,prior_spec,dist_to_hull_merge_D1D2,dist_to_hull_merge_D2D3,mu,gamma
0,0,0.789,-1.315,-0.150377107,0.017585322,0,0.056264232,0.092397224,0,0,0,-22.80079496,3.722927217,4.94565742,0.257731518,place_goal_source,0.064812878,0.026636312,0.102222222,2
0,0,0.789,-1.315,0.166251507,0.281822014,0,0.098798499,0.099567143,0,0,0,-25.58438368,5.096293721,4.802780042,0.253536837,place_goal_source,0.057134944,0.023884708,0.154444444,2
0,0,0.789,-1.315,0.4121274,0.476701439,0,0.145326407,0.117605731,0,0,0,-26.83970437,6.116555916,4.348283967,0.215307123,place_goal_source,0.047764663,0.020296429,0.206666667,2
0,0,0.789,-1.315,0.608412231,0.625719618,0,0.183750744,0.1368578,0,0,0,-27.25595275,6.88228318,3.776117749,0.167221586,place_goal_source,0.038946285,0.01674894,0.258888889,2
0,0,0.789,-1.315,0.767203822,0.741950051,0,0.214947151,0.154529417,0,0,0,-27.19823376,7.468485012,3.181575724,0.121675271,place_goal_source,0.031261124,0.013520673,0.311111111,2
0,0,0.789,-1.315,0.896423555,0.833626359,0,0.240287284,0.169973965,0,0,0,-26.8754566,7.927748483,2.615708115,0.083726621,place_goal_source,0.024752514,0.010780493,0.363333333,2
0,0,0.789,-1.315,1.001724538,0.90635579,0,0.260876868,0.183168677,0,0,0,-26.41213783,8.296082816,2.110182996,0.055108047,place_goal_source,0.019351359,0.008504506,0.415555556,2
0,0,0.789,-1.315,1.087377249,0.96416455,0,0.277572226,0.194276035,0,0,0,-25.88418113,8.598095359,1.672543812,0.034726971,place_goal_source,0.014948872,0.006650107,0.467777778,2
0,0,0.789,-1.315,1.15673212,1.010052813,0,0.291046759,0.203508544,0,0,0,-25.33823556,8.850725157,1.300642368,0.020841224,place_goal_source,0.011387876,0.005171789,0.52,2
0,0,0.789,-1.315,1.212484722,1.046316583,0,0.30184109,0.211083566,0,0,0,-24.80277054,9.065778031,0.995337503,0.011921041,place_goal_source,0.008536064,0.004027886,0.572222222,2
0,0,0.789,-1.315,1.256840397,1.07474779,0,0.310396717,0.217207398,0,0,0,-24.29468421,9.251615705,0.748577109,0.006458208,place_goal_source,0.006286879,0.003139575,0.624444444,2
0,0,0.789,-1.315,1.291623792,1.096765826,0,0.317078672,0.222069691,0,0,0,-23.82337355,9.414273854,0.556454034,0.003308582,place_goal_source,0.004558842,0.002502696,0.676666667,2
0,0,0.789,-1.315,1.318356137,1.113507966,0,0.322191318,0.225841847,0,0,0,-23.39331254,9.558201092,0.413797938,0.001621645,place_goal_source,0.003294436,0.00209821,0.728888889,2
0,0,0.789,-1.315,1.338312422,1.125893838,0,0.325989838,0.228677087,0,0,0,-23.00573472,9.686748726,0.313533697,0.000800854,place_goal_source,0.002453824,0.001876254,0.781111111,2
0,0,0.789,-1.315,1.352565287,1.134672703,0,0.328688948,0.230711274,0,0,0,-22.65976563,9.802497234,0.248183547,0.00045257,place_goal_source,0.001988492,0.00177587,0.833333333,2
0,0,0.789,-1.315,1.362019631,1.140458928,0,0.330469709,0.2320641,0,0,0,-22.3532051,9.907475552,0.211164627,0.000333944,place_goal_source,0.001799705,0.001740899,0.885555556,2
0,0,0.789,-1.315,1.36744045,1.143759069,0,0.331485012,0.232840435,0,0,0,-22.08307604,10.00330967,0.196402819,0.000307077,place_goal_source,0.00175316,0.001732969,0.937777778,2
0,0,0.789,-1.315,1.36947553,1.144992822,0,0.331864063,0.233131721,0,0,0,-21.84601037,10.0913244,0.191269142,0.000304034,place_goal_source,0.001749101,0.001732305,0.99,2
0,0,0.789,-1.315,1.36947553,1.144992822,0,0.331864063,0.233131721,0,0,0,-21.84601037,10.0913244,0.191269142,0.000304034,place_goal_source,0.001749101,0.001732305,0.99,2